appId,word,frequency
com.wanderlog.android,sites,2
com.wanderlog.android,matter,1
com.wanderlog.android,press,1
com.wanderlog.android,frustrating,1
com.wanderlog.android,today,3
com.wanderlog.android,painstakingly,1
com.wanderlog.android,added,5
com.wanderlog.android,30,1
com.wanderlog.android,find,8
com.wanderlog.android,minutes,1
com.wanderlog.android,later,1
com.wanderlog.android,nowhere,1
com.wanderlog.android,international,1
com.wanderlog.android,intuitive,4
com.wanderlog.android,friends,3
com.wanderlog.android,apps,9
com.wanderlog.android,thought,3
com.wanderlog.android,putting,1
com.wanderlog.android,top,4
com.wanderlog.android,list,3
com.wanderlog.android,favourite,1
com.wanderlog.android,explore,1
com.wanderlog.android,inspiration,1
com.wanderlog.android,look,2
com.wanderlog.android,bit,4
com.wanderlog.android,familiarise,1
com.wanderlog.android,simple,2
com.wanderlog.android,organizes,1
com.wanderlog.android,plugs,1
com.wanderlog.android,iteniary,1
com.wanderlog.android,attached,2
com.wanderlog.android,screenshot,1
com.wanderlog.android,park,1
com.wanderlog.android,passes,1
com.wanderlog.android,entered,1
com.wanderlog.android,addresses,1
com.wanderlog.android,offers,1
com.wanderlog.android,every,2
com.wanderlog.android,detail,1
com.wanderlog.android,reservation,1
com.wanderlog.android,makes,6
com.wanderlog.android,edit,1
com.wanderlog.android,agendas,1
com.wanderlog.android,opens,1
com.wanderlog.android,door,1
com.wanderlog.android,experiences,2
com.wanderlog.android,may,1
com.wanderlog.android,overlooked,1
com.wanderlog.android,showing,3
com.wanderlog.android,points,2
com.wanderlog.android,restaurants,4
com.wanderlog.android,think,2
com.wanderlog.android,covered,1
com.wanderlog.android,track,6
com.wanderlog.android,stumbled,1
com.wanderlog.android,ago,1
com.wanderlog.android,saw,1
com.wanderlog.android,opportunity,1
com.wanderlog.android,korea,3
com.wanderlog.android,ability,4
com.wanderlog.android,distance,2
com.wanderlog.android,definitely,1
com.wanderlog.android,amazingly,1
com.wanderlog.android,tons,1
com.wanderlog.android,ads,1
com.wanderlog.android,hotel,5
com.wanderlog.android,etc,5
com.wanderlog.android,price,3
com.wanderlog.android,exactly,2
com.wanderlog.android,wrong,1
com.wanderlog.android,todays,1
com.wanderlog.android,model,1
com.wanderlog.android,option,1
com.wanderlog.android,whole,3
com.wanderlog.android,year,3
com.wanderlog.android,cost,2
com.wanderlog.android,almost,5
com.wanderlog.android,60,2
com.wanderlog.android,expensive,2
com.wanderlog.android,logged,1
com.wanderlog.android,website,2
com.wanderlog.android,say,2
com.wanderlog.android,50,2
com.wanderlog.android,people,3
com.wanderlog.android,mode,1
com.wanderlog.android,attachments,2
com.wanderlog.android,crazy,1
com.wanderlog.android,sim,1
com.wanderlog.android,la,1
com.wanderlog.android,mejor,1
com.wanderlog.android,aplicación,1
com.wanderlog.android,para,1
com.wanderlog.android,planificar,1
com.wanderlog.android,viajes,1
com.wanderlog.android,nacionales,1
com.wanderlog.android,internacionales,1
com.wanderlog.android,version,9
com.wanderlog.android,upcoming,2
com.wanderlog.android,month,1
com.wanderlog.android,solo,1
com.wanderlog.android,europe,1
com.wanderlog.android,handy,2
com.wanderlog.android,introduce,1
com.wanderlog.android,sister,1
com.wanderlog.android,per,1
com.wanderlog.android,data,1
com.wanderlog.android,mind,2
com.wanderlog.android,paying,1
com.wanderlog.android,lie,1
com.wanderlog.android,looking,3
com.wanderlog.android,full,3
com.wanderlog.android,designated,1
com.wanderlog.android,friend,1
com.wanderlog.android,group,5
com.wanderlog.android,10,2
com.wanderlog.android,years,1
com.wanderlog.android,tripit,3
com.wanderlog.android,google,10
com.wanderlog.android,splitwise,1
com.wanderlog.android,citymapper,1
com.wanderlog.android,name,1
com.wanderlog.android,deleted,1
com.wanderlog.android,combined,1
com.wanderlog.android,virtually,1
com.wanderlog.android,glitch,1
com.wanderlog.android,recently,2
com.wanderlog.android,took,2
com.wanderlog.android,belgium,1
com.wanderlog.android,netherlands,1
com.wanderlog.android,executing,1
com.wanderlog.android,breeze,2
com.wanderlog.android,developers,2
com.wanderlog.android,possible,2
com.wanderlog.android,scenario,1
com.wanderlog.android,budget,4
com.wanderlog.android,summary,2
com.wanderlog.android,fine,1
com.wanderlog.android,tuning,1
com.wanderlog.android,need,7
com.wanderlog.android,shared,1
com.wanderlog.android,coworkers,1
com.wanderlog.android,forward,5
com.wanderlog.android,improvements,2
com.wanderlog.android,progresses,1
com.wanderlog.android,log,1
com.wanderlog.android,trav,1
com.wanderlog.android,journal,1
com.wanderlog.android,nica,1
com.wanderlog.android,functionalities,1
com.wanderlog.android,missing,1
com.wanderlog.android,fabulous,1
com.wanderlog.android,valuable,1
com.wanderlog.android,coordinating,2
com.wanderlog.android,right,3
com.wanderlog.android,aaa,1
com.wanderlog.android,navigate,4
com.wanderlog.android,functionality,4
com.wanderlog.android,constant,1
com.wanderlog.android,popup,1
com.wanderlog.android,tips,2
com.wanderlog.android,grating,1
com.wanderlog.android,fact,1
com.wanderlog.android,forcibly,1
com.wanderlog.android,changes,2
com.wanderlog.android,displayed,1
com.wanderlog.android,screen,4
com.wanderlog.android,drags,1
com.wanderlog.android,away,2
com.wanderlog.android,trying,1
com.wanderlog.android,intrusive,1
com.wanderlog.android,instead,2
com.wanderlog.android,reading,1
com.wanderlog.android,clicking,1
com.wanderlog.android,hopefully,1
com.wanderlog.android,maybe,3
com.wanderlog.android,personal,2
com.wanderlog.android,preference,1
com.wanderlog.android,text,1
com.wanderlog.android,zoomed,1
com.wanderlog.android,dense,1
com.wanderlog.android,enough,1
com.wanderlog.android,setting,1
com.wanderlog.android,round,1
com.wanderlog.android,others,1
com.wanderlog.android,selected,1
com.wanderlog.android,sources,1
com.wanderlog.android,regard,1
com.wanderlog.android,dining,1
com.wanderlog.android,wait,2
com.wanderlog.android,try,3
com.wanderlog.android,live,1
com.wanderlog.android,system,2
com.wanderlog.android,quickly,1
com.wanderlog.android,start,3
com.wanderlog.android,navigation,2
com.wanderlog.android,rental,2
